"time_diff","count"
-1007,1
-928,1
-900,1
-857,1
-855,1
-839,1
-836,1
-808,1
-785,1
-777,1
-775,5
-718,2
-688,1
-686,1
-668,6
-624,7
-594,1
-569,5
-563,3
-535,9
-502,3
-481,3
-456,2
-432,42
-422,3
-418,6
-412,2
-391,1
-390,1
-382,69
-374,8
-365,2
-363,21
-354,1
-340,16
-332,4
-329,3
-328,49
-316,3
-302,2
-301,10
-297,2
-290,4
-282,1
-259,19
-257,441
-248,3
-241,1
-231,42
-229,74
-218,12
-216,1
-210,5
-206,24
-199,21
-198,47
-188,84
-179,23
-176,1
-168,1
-161,10
-149,255
-140,6
-137,12
-118,27
-110,2
-109,9
-106,7
-88,5
-84,6
-80,4
-79,20
-58,1
-57,7
-49,8
-48,13
-43,22
-39,217
-36,10
-26,34
-19,10
-17,7
-10,3
-7,327
-4,17
2,43
6,10
12,22
13,91
15,23
19,5
20,5
25,2
30,1
42,28
43,5
44,11
48,3
49,3
51,29
56,3
63,3
64,39
65,1
67,5
71,1
72,3
74,4
79,3
80,1
81,24
85,2
92,3
94,2
95,28
96,13
98,27
102,4
103,6
105,3
110,3
112,28
116,2
117,3
118,5
119,1
122,1
125,3
127,11
136,12
143,7
147,1
151,12
153,21
157,1
165,8
169,176
170,6
176,11
177,6
178,1
183,1
184,13
196,7
202,9
208,3
212,1
214,2
216,64
223,1
224,1
226,11
230,2
232,2
234,2
238,1
244,3
249,47
255,1
257,4
261,2
266,10
268,25
269,4
273,5
275,1
276,30
277,2
279,1
290,1
293,1
298,68
301,1
306,5
312,50
314,176
318,2
320,161
322,2
324,2
327,3
329,1
330,7
331,17
337,25
345,27
353,13
355,1
358,1
359,2
360,50
365,1
367,260
368,2
383,27
385,2
388,1
393,42
395,11
398,29
414,21
423,3
428,4
437,13
444,14
446,4
450,4
452,8
453,1
454,1
459,7
460,11
461,3
463,1
468,100
469,2
475,10
476,1
477,4
481,12
483,2
487,1
488,1
490,5
493,230
504,3
508,22
512,5
513,21
514,1
518,128
521,1
522,41
524,1
529,6
530,1
542,32
543,1
545,2
546,35
553,12
567,7
569,22
577,1
579,2
581,2
584,20
588,10
589,8
593,24
596,2
600,1
601,4
612,8
619,14
620,1
634,2
635,339
638,1
640,1
642,123
643,5
650,2
653,11
662,5
663,2
665,16
670,4
673,1
678,2
680,6
681,5
684,59
688,6
689,21
695,1
696,46
701,1
704,5
711,1
717,1
718,52
720,1
724,10
726,1
727,40
728,2
730,4
734,6
738,24
741,3
748,20
749,5
750,1
753,2
754,5
757,23
758,48
763,1
765,126
779,3
781,30
785,11
788,48
790,1
791,1
793,4
805,4
809,135
810,1
811,5
815,135
816,61
819,16
821,2
824,1
826,2
833,20
840,3
843,2
849,33
852,3
856,5
858,4
863,13
868,53
870,1
876,393
877,1
879,1
880,24
883,2
890,1
894,1
908,2
910,5
911,33
912,3
920,2
925,7
930,6
932,28
933,2
934,2
938,33
940,40
941,26
943,20
954,6
958,6
961,57
963,2
965,147
971,345
985,9
989,8
1001,42
1005,1
1009,1
1013,53
1015,9
1026,5
1032,51
1046,2
1050,3
1053,189
1059,338
1060,1
1075,6
1080,11
1086,1
1111,19
1148,1
1154,2
1215,15
1270,1
1300,1
