state,county_names,county_fips,year,count
AK,Anchorage Borough,2020,2021,1
AK,Matanuska-Susitna Borough,2170,2023,56
AR,Benton County,5007,2022,1
AR,Faulkner County,5045,2022,2
AR,Washington County,5143,2022,1
AR,Washington County,5143,2023,2
CA,Los Angeles County,6037,2022,1
CA,San Diego County,6073,2023,2
CO,Arapahoe County,8005,2022,3
CO,El Paso County,8041,2023,3
CO,Weld County,8123,2023,2
FL,Alachua County,12001,2023,10
FL,Alachua County,12001,2024,14
FL,Bay County,12005,2023,2
FL,Bay County,12005,2024,35
FL,Brevard County,12009,2021,1
FL,Brevard County,12009,2022,43
FL,Brevard County,12009,2023,155
FL,Brevard County,12009,2024,2
FL,Broward County,12011,2022,16
FL,Broward County,12011,2023,5
FL,Broward County,12011,2024,7
FL,Charlotte County,12015,2023,84
FL,Charlotte County,12015,2024,5
FL,Clay County,12019,2021,1
FL,Clay County,12019,2022,64
FL,Clay County,12019,2023,570
FL,Clay County,12019,2024,231
FL,Collier County,12021,2023,359
FL,Collier County,12021,2024,17
FL,Duval County,12031,2022,176
FL,Duval County,12031,2023,77
FL,Duval County,12031,2024,6
FL,Escambia County,12033,2022,145
FL,Escambia County,12033,2023,1607
FL,Escambia County,12033,2024,35
FL,Flagler County,12035,2021,4
FL,Flagler County,12035,2022,13
FL,Flagler County,12035,2023,17
FL,Gilchrist County,12041,2023,9
FL,Gilchrist County,12041,2024,1
FL,Hamilton County,12047,2023,19
FL,Hernando County,12053,2021,5
FL,Hernando County,12053,2022,13
FL,Hernando County,12053,2023,64
FL,Hernando County,12053,2024,2
FL,Highlands County,12055,2022,17
FL,Highlands County,12055,2023,6
FL,Hillsborough County,12057,2023,1
FL,Indian River County,12061,2021,161
FL,Indian River County,12061,2023,32
FL,Indian River County,12061,2024,19
FL,Jackson County,12063,2022,14
FL,Lake County,12069,2022,13
FL,Lake County,12069,2023,27
FL,Lake County,12069,2024,25
FL,Lee County,12071,2022,30
FL,Lee County,12071,2023,6
FL,Lee County,12071,2024,261
FL,Leon County,12073,2023,13
FL,Manatee County,12081,2022,31
FL,Manatee County,12081,2023,53
FL,Manatee County,12081,2024,26
FL,Marion County,12083,2023,62
FL,Martin County,12085,2022,1
FL,Martin County,12085,2023,123
FL,Martin County,12085,2024,20
FL,Miami-Dade County,12086,2023,8
FL,Monroe County,12087,2023,3
FL,Nassau County,12089,2023,36
FL,Okaloosa County,12091,2023,96
FL,Orange County,12095,2021,4
FL,Orange County,12095,2023,413
FL,Orange County,12095,2024,317
FL,Osceola County,12097,2022,5
FL,Osceola County,12097,2023,26
FL,Palm Beach County,12099,2022,26
FL,Palm Beach County,12099,2024,1
FL,Pasco County,12101,2024,1
FL,Pinellas County,12103,2021,1
FL,Pinellas County,12103,2023,29
FL,Pinellas County,12103,2024,1
FL,Polk County,12105,2022,16
FL,Polk County,12105,2023,4
FL,Polk County,12105,2024,44
FL,Santa Rosa County,12113,2022,9
FL,Santa Rosa County,12113,2023,83
FL,Santa Rosa County,12113,2024,44
FL,Sarasota County,12115,2021,1
FL,Sarasota County,12115,2022,2
FL,Sarasota County,12115,2023,10
FL,Seminole County,12117,2022,11
FL,Seminole County,12117,2023,126
FL,Seminole County,12117,2024,68
FL,St. Johns County,12109,2022,6
FL,St. Johns County,12109,2023,132
FL,St. Johns County,12109,2024,5
FL,St. Lucie County,12111,2021,8
FL,St. Lucie County,12111,2022,15
FL,St. Lucie County,12111,2023,1
FL,Union County,12125,2023,47
FL,Volusia County,12127,2021,1
FL,Volusia County,12127,2022,6
FL,Volusia County,12127,2023,102
FL,Wakulla County,12129,2023,1
FL,Walton County,12131,2022,58
GA,Bartow County,13015,2022,10
GA,Cherokee County,13057,2022,10
GA,Clayton County,13063,2023,4
GA,Cobb County,13067,2023,74
GA,Cobb County,13067,2024,5
GA,Coweta County,13077,2023,4
GA,Fayette County,13113,2023,4
GA,Forsyth County,13117,2021,1
GA,Forsyth County,13117,2022,12
GA,Forsyth County,13117,2023,4
GA,Fulton County,13121,2023,4
GA,Gwinnett County,13135,2023,4
GA,Pickens County,13227,2022,10
IA,Adair County,19001,2023,21
IA,Adair County,19001,2024,14
IA,Adams County,19003,2023,14
IA,Adams County,19003,2024,10
IA,Allamakee County,19005,2024,35
IA,Appanoose County,19007,2024,14
