"state","county_names","county_fips","count"
"AK","Anchorage Borough","02020",1
"AK","Matanuska-Susitna Borough","02170",1
"AR","Benton County","05007",1
"AR","Faulkner County","05045",1
"AR","Washington County","05143",2
"CA","Los Angeles County","06037",1
"CA","San Diego County","06073",1
"CO","Arapahoe County","08005",1
"CO","El Paso County","08041",1
"CO","Weld County","08123",1
"FL","Alachua County","12001",2
"FL","Bay County","12005",2
"FL","Brevard County","12009",4
"FL","Broward County","12011",3
"FL","Charlotte County","12015",2
"FL","Clay County","12019",4
"FL","Collier County","12021",2
"FL","Duval County","12031",3
"FL","Escambia County","12033",3
"FL","Flagler County","12035",3
"FL","Gilchrist County","12041",2
"FL","Hamilton County","12047",1
"FL","Hernando County","12053",4
"FL","Highlands County","12055",2
"FL","Hillsborough County","12057",1
"FL","Indian River County","12061",3
"FL","Jackson County","12063",1
"FL","Lake County","12069",3
"FL","Lee County","12071",3
"FL","Leon County","12073",1
"FL","Manatee County","12081",3
"FL","Marion County","12083",1
"FL","Martin County","12085",3
"FL","Miami-Dade County","12086",1
"FL","Monroe County","12087",1
"FL","Nassau County","12089",1
"FL","Okaloosa County","12091",1
"FL","Orange County","12095",3
"FL","Osceola County","12097",2
"FL","Palm Beach County","12099",2
"FL","Pasco County","12101",1
"FL","Pinellas County","12103",3
"FL","Polk County","12105",3
"FL","Santa Rosa County","12113",3
"FL","Sarasota County","12115",3
"FL","Seminole County","12117",3
"FL","St. Johns County","12109",3
"FL","St. Lucie County","12111",3
"FL","Union County","12125",1
"FL","Volusia County","12127",3
"FL","Wakulla County","12129",1
"FL","Walton County","12131",1
"GA","Bartow County","13015",1
"GA","Cherokee County","13057",1
"GA","Clayton County","13063",1
"GA","Cobb County","13067",2
"GA","Coweta County","13077",1
"GA","Fayette County","13113",1
"GA","Forsyth County","13117",3
"GA","Fulton County","13121",1
"GA","Gwinnett County","13135",1
"GA","Pickens County","13227",1
"IA","Adair County","19001",2
"IA","Adams County","19003",2
"IA","Allamakee County","19005",1
"IA","Appanoose County","19007",1
"IA","Audubon County","19009",2
"IA","Benton County","19011",1
"IA","Black Hawk County","19013",2
"IA","Boone County","19015",2
"IA","Bremer County","19017",2
"IA","Buchanan County","19019",1
"IA","Buena Vista County","19021",2
"IA","Butler County","19023",2
"IA","Calhoun County","19025",1
"IA","Carroll County","19027",2
"IA","Cass County","19029",2
"IA","Cedar County","19031",1
"IA","Cerro Gordo County","19033",2
"IA","Cherokee County","19035",2
"IA","Chickasaw County","19037",1
"IA","Clarke County","19039",1
"IA","Clay County","19041",1
"IA","Clayton County","19043",1
"IA","Clinton County","19045",1
"IA","Dallas County","19049",3
"IA","Davis County","19051",1
"IA","Decatur County","19053",1
"IA","Delaware County","19055",1
"IA","Des Moines County","19057",1
"IA","Dickinson County","19059",2
"IA","Dubuque County","19061",1
"IA","Emmet County","19063",1
"IA","Fayette County","19065",1
"IA","Floyd County","19067",2
"IA","Franklin County","19069",2
"IA","Fremont County","19071",1
"IA","Greene County","19073",1
"IA","Grundy County","19075",2
"IA","Hamilton County","19079",1
"IA","Hancock County","19081",2
"IA","Hardin County","19083",2
"IA","Harrison County","19085",1
"IA","Henry County","19087",1
"IA","Howard County","19089",1
"IA","Humboldt County","19091",1
"IA","Ida County","19093",1
"IA","Iowa County","19095",1
"IA","Jackson County","19097",1
"IA","Jasper County","19099",2
"IA","Jefferson County","19101",1
"IA","Johnson County","19103",2
"IA","Jones County","19105",1
"IA","Keokuk County","19107",2
"IA","Lee County","19111",2
"IA","Linn County","19113",1
"IA","Louisa County","19115",2
"IA","Lucas County","19117",1
"IA","Lyon County","19119",1
"IA","Madison County","19121",2
"IA","Mahaska County","19123",2
"IA","Marion County","19125",2
"IA","Marshall County","19127",2
"IA","Mills County","19129",1
"IA","Mitchell County","19131",2
"IA","Monroe County","19135",1
"IA","Montgomery County","19137",2
"IA","Muscatine County","19139",2
"IA","Page County","19145",2
"IA","Palo Alto County","19147",1
"IA","Plymouth County","19149",1
"IA","Pocahontas County","19151",1
"IA","Polk County","19153",3
"IA","Pottawattamie County","19155",2
"IA","Poweshiek County","19157",2
"IA","Ringgold County","19159",1
"IA","Sac County","19161",2
"IA","Scott County","19163",1
"IA","Sioux County","19167",1
"IA","Story County","19169",2
"IA","Tama County","19171",2
"IA","Taylor County","19173",1
"IA","Union County","19175",1
"IA","Van Buren County","19177",1
"IA","Wapello County","19179",2
"IA","Warren County","19181",2
"IA","Washington County","19183",2
"IA","Wayne County","19185",1
"IA","Winnebago County","19189",2
"IA","Winneshiek County","19191",1
"IA","Woodbury County","19193",2
"IA","Worth County","19195",2
"IA","Wright County","19197",1
"ID","Ada County","16001",2
"ID","Bingham County","16011",1
"ID","Bonner County","16017",1
"ID","Bonneville County","16019",1
"ID","Canyon County","16027",2
"ID","Kootenai County","16055",1
"IL","Henry County","17073",2
"IL","Kane County","17089",1
"IL","Kendall County","17093",1
