"state","county_names","county_fips","ban_year","ban_count","facebook_members","facebook","overlap"
"AK","Anchorage Borough",2020,2021,1,15,"yes","yes"
"AK","Matanuska-Susitna Borough",2170,2023,56,NA,NA,NA
"AR","Benton County",5007,2022,1,NA,NA,NA
"AR","Faulkner County",5045,2022,2,NA,NA,NA
"AR","Washington County",5143,2022,1,148,"yes","yes"
"AR","Washington County",5143,2023,2,148,"yes","yes"
"CA","Los Angeles County",6037,2022,1,196,"yes","yes"
"CA","San Diego County",6073,2023,2,289,"yes","yes"
"CO","Arapahoe County",8005,2022,3,NA,NA,NA
"CO","El Paso County",8041,2023,3,515,"yes","yes"
"CO","Weld County",8123,2023,2,186,"yes","yes"
"FL","Alachua County",12001,2023,10,NA,NA,NA
"FL","Alachua County",12001,2024,14,NA,NA,NA
"FL","Bay County",12005,2023,2,NA,NA,NA
"FL","Bay County",12005,2024,35,NA,NA,NA
"FL","Brevard County",12009,2021,1,107,"yes","yes"
"FL","Brevard County",12009,2022,43,107,"yes","yes"
"FL","Brevard County",12009,2023,155,107,"yes","yes"
"FL","Brevard County",12009,2024,2,107,"yes","yes"
"FL","Broward County",12011,2022,16,639,"yes","yes"
"FL","Broward County",12011,2023,5,639,"yes","yes"
"FL","Broward County",12011,2024,7,639,"yes","yes"
"FL","Charlotte County",12015,2023,84,84,"yes","yes"
"FL","Charlotte County",12015,2024,5,84,"yes","yes"
"FL","Clay County",12019,2021,1,612,"yes","yes"
"FL","Clay County",12019,2022,64,612,"yes","yes"
"FL","Clay County",12019,2023,570,612,"yes","yes"
"FL","Clay County",12019,2024,231,612,"yes","yes"
"FL","Collier County",12021,2023,359,414,"yes","yes"
"FL","Collier County",12021,2024,17,414,"yes","yes"
"FL","Duval County",12031,2022,176,142,"yes","yes"
"FL","Duval County",12031,2022,176,1618,"yes","yes"
"FL","Duval County",12031,2023,77,142,"yes","yes"
"FL","Duval County",12031,2023,77,1618,"yes","yes"
"FL","Duval County",12031,2024,6,142,"yes","yes"
"FL","Duval County",12031,2024,6,1618,"yes","yes"
"FL","Escambia County",12033,2022,145,NA,NA,NA
"FL","Escambia County",12033,2023,1607,NA,NA,NA
"FL","Escambia County",12033,2024,35,NA,NA,NA
"FL","Flagler County",12035,2021,4,557,"yes","yes"
"FL","Flagler County",12035,2022,13,557,"yes","yes"
"FL","Flagler County",12035,2023,17,557,"yes","yes"
"FL","Gilchrist County",12041,2023,9,NA,NA,NA
"FL","Gilchrist County",12041,2024,1,NA,NA,NA
"FL","Hamilton County",12047,2023,19,NA,NA,NA
"FL","Hernando County",12053,2021,5,170,"yes","yes"
"FL","Hernando County",12053,2022,13,170,"yes","yes"
"FL","Hernando County",12053,2023,64,170,"yes","yes"
"FL","Hernando County",12053,2024,2,170,"yes","yes"
"FL","Highlands County",12055,2022,17,41,"yes","yes"
"FL","Highlands County",12055,2023,6,41,"yes","yes"
"FL","Hillsborough County",12057,2023,1,454,"yes","yes"
"FL","Indian River County",12061,2021,161,777,"yes","yes"
"FL","Indian River County",12061,2023,32,777,"yes","yes"
"FL","Indian River County",12061,2024,19,777,"yes","yes"
"FL","Jackson County",12063,2022,14,NA,NA,NA
"FL","Lake County",12069,2022,13,NA,NA,NA
"FL","Lake County",12069,2023,27,NA,NA,NA
"FL","Lake County",12069,2024,25,NA,NA,NA
"FL","Lee County",12071,2022,30,NA,NA,NA
"FL","Lee County",12071,2023,6,NA,NA,NA
"FL","Lee County",12071,2024,261,NA,NA,NA
"FL","Leon County",12073,2023,13,215,"yes","yes"
"FL","Manatee County",12081,2022,31,NA,NA,NA
"FL","Manatee County",12081,2023,53,NA,NA,NA
"FL","Manatee County",12081,2024,26,NA,NA,NA
"FL","Marion County",12083,2023,62,104,"yes","yes"
"FL","Martin County",12085,2022,1,304,"yes","yes"
"FL","Martin County",12085,2023,123,304,"yes","yes"
"FL","Martin County",12085,2024,20,304,"yes","yes"
"FL","Miami-Dade County",12086,2023,8,NA,NA,NA
"FL","Monroe County",12087,2023,3,119,"yes","yes"
"FL","Nassau County",12089,2023,36,NA,NA,NA
"FL","Okaloosa County",12091,2023,96,88,"yes","yes"
"FL","Orange County",12095,2021,4,592,"yes","yes"
"FL","Orange County",12095,2023,413,592,"yes","yes"
"FL","Orange County",12095,2024,317,592,"yes","yes"
"FL","Osceola County",12097,2022,5,117,"yes","yes"
"FL","Osceola County",12097,2023,26,117,"yes","yes"
"FL","Palm Beach County",12099,2022,26,397,"yes","yes"
"FL","Palm Beach County",12099,2024,1,397,"yes","yes"
"FL","Pasco County",12101,2024,1,374,"yes","yes"
"FL","Pinellas County",12103,2021,1,682,"yes","yes"
"FL","Pinellas County",12103,2023,29,682,"yes","yes"
"FL","Pinellas County",12103,2024,1,682,"yes","yes"
"FL","Polk County",12105,2022,16,159,"yes","yes"
"FL","Polk County",12105,2023,4,159,"yes","yes"
"FL","Polk County",12105,2024,44,159,"yes","yes"
"FL","Santa Rosa County",12113,2022,9,326,"yes","yes"
"FL","Santa Rosa County",12113,2023,83,326,"yes","yes"
"FL","Santa Rosa County",12113,2024,44,326,"yes","yes"
"FL","Sarasota County",12115,2021,1,1636,"yes","yes"
"FL","Sarasota County",12115,2022,2,1636,"yes","yes"
"FL","Sarasota County",12115,2023,10,1636,"yes","yes"
"FL","Seminole County",12117,2022,11,NA,NA,NA
"FL","Seminole County",12117,2023,126,NA,NA,NA
"FL","Seminole County",12117,2024,68,NA,NA,NA
"FL","St. Johns County",12109,2022,6,NA,NA,NA
"FL","St. Johns County",12109,2023,132,NA,NA,NA
"FL","St. Johns County",12109,2024,5,NA,NA,NA
"FL","St. Lucie County",12111,2021,8,NA,NA,NA
"FL","St. Lucie County",12111,2022,15,NA,NA,NA
